O*NET-SOC 2010 Code,O*NET-SOC 2010 Title,teleworkable,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title,2018 SOC Code,2018 SOC Title,2010 Census Code
11-9199.01,Regulatory Affairs Managers,1,11-9199.01,Regulatory Affairs Managers,11-9199,"Managers, All Other",0430
11-9199.02,Compliance Managers,1,11-9199.02,Compliance Managers,11-9199,"Managers, All Other",0430
11-9199.03,Investment Fund Managers,1,11-3031.03,Investment Fund Managers,11-3031,Financial Managers,0120
11-9199.04,Supply Chain Managers,1,11-3071.04,Supply Chain Managers,11-3071,"Transportation, Storage, and Distribution Managers",0160
11-9199.07,Security Managers,1,11-3013.01,Security Managers,11-3013,Facilities Managers,0100
11-9199.07,Security Managers,1,11-9199.00,"Managers, All Other",11-9199,"Managers, All Other",0430
11-9199.08,Loss Prevention Managers,1,11-9199.08,Loss Prevention Managers,11-9199,"Managers, All Other",0430
11-9199.09,Wind Energy Operations Managers,0,11-9199.09,Wind Energy Operations Managers,11-9199,"Managers, All Other",0430
11-9199.10,Wind Energy Project Managers,1,11-9199.10,Wind Energy Development Managers,11-9199,"Managers, All Other",0430
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,1,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,11-9199,"Managers, All Other",0430
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",1,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",0500
13-1021.00,"Buyers and Purchasing Agents, Farm Products",1,13-1021.00,"Buyers and Purchasing Agents, Farm Products",13-1021,"Buyers and Purchasing Agents, Farm Products",0510
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",1,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",13-1022,"Wholesale and Retail Buyers, Except Farm Products",0520
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",0530
13-1031.01,"Claims Examiners, Property and Casualty Insurance",1,13-1031.00,"Claims Adjusters, Examiners, and Investigators",13-1031,"Claims Adjusters, Examiners, and Investigators",0540
13-1031.02,"Insurance Adjusters, Examiners, and Investigators",1,13-1031.00,"Claims Adjusters, Examiners, and Investigators",13-1031,"Claims Adjusters, Examiners, and Investigators",0540
13-1032.00,"Insurance Appraisers, Auto Damage",0,13-1032.00,"Insurance Appraisers, Auto Damage",13-1032,"Insurance Appraisers, Auto Damage",0540
13-1041.01,Environmental Compliance Inspectors,0,13-1041.01,Environmental Compliance Inspectors,13-1041,Compliance Officers,0565
13-1041.02,Licensing Examiners and Inspectors,0,13-1041.00,Compliance Officers,13-1041,Compliance Officers,0565
13-1041.03,Equal Opportunity Representatives and Officers,1,13-1041.03,Equal Opportunity Representatives and Officers,13-1041,Compliance Officers,0565
13-1041.04,Government Property Inspectors and Investigators,1,13-1041.04,Government Property Inspectors and Investigators,13-1041,Compliance Officers,0565
13-1041.06,Coroners,0,13-1041.06,Coroners,13-1041,Compliance Officers,0565
13-1041.07,Regulatory Affairs Specialists,1,13-1041.07,Regulatory Affairs Specialists,13-1041,Compliance Officers,0565
13-1051.00,Cost Estimators,1,13-1051.00,Cost Estimators,13-1051,Cost Estimators,0600
13-1071.00,Human Resources Specialists,1,13-1071.00,Human Resources Specialists,13-1071,Human Resources Specialists,0630
13-1074.00,Farm Labor Contractors,1,13-1074.00,Farm Labor Contractors,13-1074,Farm Labor Contractors,0630
13-1075.00,Labor Relations Specialists,1,13-1075.00,Labor Relations Specialists,13-1075,Labor Relations Specialists,0630
13-1081.00,Logisticians,1,13-1081.00,Logisticians,13-1081,Logisticians,0700
13-1081.01,Logistics Engineers,1,13-1081.01,Logistics Engineers,13-1081,Logisticians,0700
13-1081.02,Logistics Analysts,1,13-1081.02,Logistics Analysts,13-1081,Logisticians,0700
13-1111.00,Management Analysts,1,13-1111.00,Management Analysts,13-1111,Management Analysts,0710
13-1121.00,"Meeting, Convention, and Event Planners",0,13-1121.00,"Meeting, Convention, and Event Planners",13-1121,"Meeting, Convention, and Event Planners",0725
13-1131.00,Fundraisers,0,13-1131.00,Fundraisers,13-1131,Fundraisers,0726
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",1,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",13-1141,"Compensation, Benefits, and Job Analysis Specialists",0640
13-1151.00,Training and Development Specialists,1,13-1151.00,Training and Development Specialists,13-1151,Training and Development Specialists,0650
13-1161.00,Market Research Analysts and Marketing Specialists,1,13-1161.00,Market Research Analysts and Marketing Specialists,13-1161,Market Research Analysts and Marketing Specialists,0735
13-1199.01,Energy Auditors,0,47-4011.01,Energy Auditors,47-4011,Construction and Building Inspectors,6660
13-1199.02,Security Management Specialists,1,13-1199.00,"Business Operations Specialists, All Other",13-1199,"Business Operations Specialists, All Other",0740
13-1199.02,Security Management Specialists,1,13-1199.07,Security Management Specialists,13-1199,"Business Operations Specialists, All Other",0740
13-1199.03,Customs Brokers,1,13-1041.08,Customs Brokers,13-1041,Compliance Officers,0565
13-1199.04,Business Continuity Planners,1,13-1199.04,Business Continuity Planners,13-1199,"Business Operations Specialists, All Other",0740
13-1199.05,Sustainability Specialists,1,13-1199.05,Sustainability Specialists,13-1199,"Business Operations Specialists, All Other",0740
13-1199.06,Online Merchants,1,13-1199.06,Online Merchants,13-1199,"Business Operations Specialists, All Other",0740
13-2011.01,Accountants,1,13-2011.00,Accountants and Auditors,13-2011,Accountants and Auditors,0800
13-2011.02,Auditors,1,13-2011.00,Accountants and Auditors,13-2011,Accountants and Auditors,0800
13-2021.01,Assessors,1,13-2023.00,Appraisers and Assessors of Real Estate,13-2023,Appraisers and Assessors of Real Estate,0810
13-2021.02,"Appraisers, Real Estate",1,13-2023.00,Appraisers and Assessors of Real Estate,13-2023,Appraisers and Assessors of Real Estate,0810
13-2031.00,Budget Analysts,1,13-2031.00,Budget Analysts,13-2031,Budget Analysts,0820
13-2041.00,Credit Analysts,1,13-2041.00,Credit Analysts,13-2041,Credit Analysts,0830
13-2051.00,Financial Analysts,1,13-2051.00,Financial and Investment Analysts,13-2051,Financial and Investment Analysts,0840
13-2051.00,Financial Analysts,1,13-2054.00,Financial Risk Specialists,13-2054,Financial Risk Specialists,0950
13-2052.00,Personal Financial Advisors,1,13-2052.00,Personal Financial Advisors,13-2052,Personal Financial Advisors,0850
13-2053.00,Insurance Underwriters,1,13-2053.00,Insurance Underwriters,13-2053,Insurance Underwriters,0860
13-2061.00,Financial Examiners,1,13-2061.00,Financial Examiners,13-2061,Financial Examiners,0900
13-2071.00,Credit Counselors,1,13-2071.00,Credit Counselors,13-2071,Credit Counselors,0910
13-2071.01,Loan Counselors,1,13-2072.00,Loan Officers,13-2072,Loan Officers,0910
13-2072.00,Loan Officers,0,13-2072.00,Loan Officers,13-2072,Loan Officers,0910
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",0,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",13-2081,"Tax Examiners and Collectors, and Revenue Agents",0930
13-2082.00,Tax Preparers,0,13-2082.00,Tax Preparers,13-2082,Tax Preparers,0940
13-2099.01,Financial Quantitative Analysts,1,13-2099.01,Financial Quantitative Analysts,13-2099,"Financial Specialists, All Other",0950
13-2099.02,Risk Management Specialists,1,13-2054.00,Financial Risk Specialists,13-2054,Financial Risk Specialists,0950
13-2099.04,"Fraud Examiners, Investigators and Analysts",1,13-2099.04,"Fraud Examiners, Investigators and Analysts",13-2099,"Financial Specialists, All Other",0950
15-1111.00,Computer and Information Research Scientists,1,15-1221.00,Computer and Information Research Scientists,15-1221,Computer and Information Research Scientists,1005
15-1121.00,Computer Systems Analysts,1,15-1211.00,Computer Systems Analysts,15-1211,Computer Systems Analysts,1006
15-1121.01,Informatics Nurse Specialists,1,15-1211.01,Health Informatics Specialists,15-1211,Computer Systems Analysts,1006
15-1122.00,Information Security Analysts,1,15-1212.00,Information Security Analysts,15-1212,Information Security Analysts,1007
15-1131.00,Computer Programmers,1,15-1251.00,Computer Programmers,15-1251,Computer Programmers,1010
15-1132.00,"Software Developers, Applications",1,15-1252.00,Software Developers,15-1252,Software Developers,1020
15-1132.00,"Software Developers, Applications",1,15-1253.00,Software Quality Assurance Analysts and Testers,15-1253,Software Quality Assurance Analysts and Testers,1020
15-1133.00,"Software Developers, Systems Software",1,15-1252.00,Software Developers,15-1252,Software Developers,1020
15-1133.00,"Software Developers, Systems Software",1,15-1253.00,Software Quality Assurance Analysts and Testers,15-1253,Software Quality Assurance Analysts and Testers,1020
15-1134.00,Web Developers,1,15-1254.00,Web Developers,15-1254,Web Developers,1030
15-1134.00,Web Developers,1,15-1255.00,Web and Digital Interface Designers,15-1255,Web and Digital Interface Designers,1030
15-1141.00,Database Administrators,1,15-1242.00,Database Administrators,15-1242,Database Administrators,1060
15-1141.00,Database Administrators,1,15-1243.00,Database Architects,15-1243,Database Architects,1060
15-1142.00,Network and Computer Systems Administrators,1,15-1244.00,Network and Computer Systems Administrators,15-1244,Network and Computer Systems Administrators,1105
15-1143.00,Computer Network Architects,1,15-1241.00,Computer Network Architects,15-1241,Computer Network Architects,1106
15-1143.01,Telecommunications Engineering Specialists,1,15-1241.01,Telecommunications Engineering Specialists,15-1241,Computer Network Architects,1106
15-1151.00,Computer User Support Specialists,1,15-1232.00,Computer User Support Specialists,15-1232,Computer User Support Specialists,1050
15-1152.00,Computer Network Support Specialists,1,15-1231.00,Computer Network Support Specialists,15-1231,Computer Network Support Specialists,1050
15-1199.01,Software Quality Assurance Engineers and Testers,1,15-1253.00,Software Quality Assurance Analysts and Testers,15-1253,Software Quality Assurance Analysts and Testers,1020
15-1199.02,Computer Systems Engineers/Architects,1,15-1299.08,Computer Systems Engineers/Architects,15-1299,"Computer Occupations, All Other",1107
15-1199.03,Web Administrators,1,15-1299.01,Web Administrators,15-1299,"Computer Occupations, All Other",1107
15-1199.04,Geospatial Information Scientists and Technologists,1,15-1299.02,Geographic Information Systems Technologists and Technicians,15-1299,"Computer Occupations, All Other",1107
15-1199.05,Geographic Information Systems Technicians,1,15-1299.02,Geographic Information Systems Technologists and Technicians,15-1299,"Computer Occupations, All Other",1107
15-1199.06,Database Architects,1,15-1243.00,Database Architects,15-1243,Database Architects,1060
15-1199.07,Data Warehousing Specialists,1,15-1243.01,Data Warehousing Specialists,15-1243,Database Architects,1060
15-1199.08,Business Intelligence Analysts,1,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,1240
15-1199.09,Information Technology Project Managers,1,15-1299.09,Information Technology Project Managers,15-1299,"Computer Occupations, All Other",1107
15-1199.10,Search Marketing Strategists,1,13-1161.01,Search Marketing Strategists,13-1161,Market Research Analysts and Marketing Specialists,0735
15-1199.11,Video Game Designers,1,15-1255.01,Video Game Designers,15-1255,Web and Digital Interface Designers,1030
15-1199.12,Document Management Specialists,1,15-1299.03,Document Management Specialists,15-1299,"Computer Occupations, All Other",1107
15-2011.00,Actuaries,1,15-2011.00,Actuaries,15-2011,Actuaries,1200
15-2021.00,Mathematicians,1,15-2021.00,Mathematicians,15-2021,Mathematicians,1210
15-2031.00,Operations Research Analysts,1,15-2031.00,Operations Research Analysts,15-2031,Operations Research Analysts,1220
15-2041.00,Statisticians,1,15-2041.00,Statisticians,15-2041,Statisticians,1230
15-2041.01,Biostatisticians,1,15-2041.01,Biostatisticians,15-2041,Statisticians,1230
15-2041.02,Clinical Data Managers,1,15-2051.02,Clinical Data Managers,15-2051,Data Scientists,1240
15-2091.00,Mathematical Technicians,1,15-2099.00,"Mathematical Science Occupations, All Other",15-2099,"Mathematical Science Occupations, All Other",1240
17-1011.00,"Architects, Except Landscape and Naval",1,17-1011.00,"Architects, Except Landscape and Naval",17-1011,"Architects, Except Landscape and Naval",1300
17-1012.00,Landscape Architects,1,17-1012.00,Landscape Architects,17-1012,Landscape Architects,1300
17-1021.00,Cartographers and Photogrammetrists,1,17-1021.00,Cartographers and Photogrammetrists,17-1021,Cartographers and Photogrammetrists,1310
17-1022.00,Surveyors,0,17-1022.00,Surveyors,17-1022,Surveyors,1310
17-1022.01,Geodetic Surveyors,1,17-1022.01,Geodetic Surveyors,17-1022,Surveyors,1310
17-2011.00,Aerospace Engineers,1,17-2011.00,Aerospace Engineers,17-2011,Aerospace Engineers,1320
17-2021.00,Agricultural Engineers,0,17-2021.00,Agricultural Engineers,17-2021,Agricultural Engineers,1330
17-2031.00,Biomedical Engineers,1,17-2031.00,Bioengineers and Biomedical Engineers,17-2031,Bioengineers and Biomedical Engineers,1340
17-2041.00,Chemical Engineers,0,17-2041.00,Chemical Engineers,17-2041,Chemical Engineers,1350
17-2051.00,Civil Engineers,1,17-2051.00,Civil Engineers,17-2051,Civil Engineers,1360
17-2051.01,Transportation Engineers,1,17-2051.01,Transportation Engineers,17-2051,Civil Engineers,1360
17-2061.00,Computer Hardware Engineers,1,17-2061.00,Computer Hardware Engineers,17-2061,Computer Hardware Engineers,1400
17-2071.00,Electrical Engineers,1,17-2071.00,Electrical Engineers,17-2071,Electrical Engineers,1410
17-2072.00,"Electronics Engineers, Except Computer",1,17-2072.00,"Electronics Engineers, Except Computer",17-2072,"Electronics Engineers, Except Computer",1410
17-2072.01,Radio Frequency Identification Device Specialists,1,17-2072.01,Radio Frequency Identification Device Specialists,17-2072,"Electronics Engineers, Except Computer",1410
17-2081.00,Environmental Engineers,1,17-2081.00,Environmental Engineers,17-2081,Environmental Engineers,1420
17-2081.01,Water/Wastewater Engineers,1,17-2051.02,Water/Wastewater Engineers,17-2051,Civil Engineers,1360
17-2111.01,Industrial Safety and Health Engineers,0,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",1430
17-2111.02,Fire-Prevention and Protection Engineers,1,17-2111.02,Fire-Prevention and Protection Engineers,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",1430
17-2111.03,Product Safety Engineers,0,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",1430
17-2112.00,Industrial Engineers,0,17-2112.00,Industrial Engineers,17-2112,Industrial Engineers,1430
17-2112.01,Human Factors Engineers and Ergonomists,1,17-2112.01,Human Factors Engineers and Ergonomists,17-2112,Industrial Engineers,1430
17-2121.01,Marine Engineers,0,17-2121.00,Marine Engineers and Naval Architects,17-2121,Marine Engineers and Naval Architects,1440
17-2121.02,Marine Architects,1,17-2121.00,Marine Engineers and Naval Architects,17-2121,Marine Engineers and Naval Architects,1440
17-2131.00,Materials Engineers,0,17-2131.00,Materials Engineers,17-2131,Materials Engineers,1450
17-2141.00,Mechanical Engineers,0,17-2141.00,Mechanical Engineers,17-2141,Mechanical Engineers,1460
17-2141.01,Fuel Cell Engineers,0,17-2141.01,Fuel Cell Engineers,17-2141,Mechanical Engineers,1460
17-2141.02,Automotive Engineers,1,17-2141.02,Automotive Engineers,17-2141,Mechanical Engineers,1460
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",0,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",1500
17-2161.00,Nuclear Engineers,0,17-2161.00,Nuclear Engineers,17-2161,Nuclear Engineers,1510
17-2171.00,Petroleum Engineers,1,17-2171.00,Petroleum Engineers,17-2171,Petroleum Engineers,1520
17-2199.01,Biochemical Engineers,0,17-2031.00,Bioengineers and Biomedical Engineers,17-2031,Bioengineers and Biomedical Engineers,1340
17-2199.02,Validation Engineers,0,17-2112.02,Validation Engineers,17-2112,Industrial Engineers,1430
17-2199.03,Energy Engineers,0,17-2199.03,"Energy Engineers, Except Wind and Solar",17-2199,"Engineers, All Other",1530
17-2199.04,Manufacturing Engineers,0,17-2112.03,Manufacturing Engineers,17-2112,Industrial Engineers,1430
17-2199.05,Mechatronics Engineers,1,17-2199.05,Mechatronics Engineers,17-2199,"Engineers, All Other",1530
17-2199.06,Microsystems Engineers,1,17-2199.06,Microsystems Engineers,17-2199,"Engineers, All Other",1530
17-2199.07,Photonics Engineers,1,17-2199.07,Photonics Engineers,17-2199,"Engineers, All Other",1530
17-2199.08,Robotics Engineers,0,17-2199.08,Robotics Engineers,17-2199,"Engineers, All Other",1530
17-2199.09,Nanosystems Engineers,0,17-2199.09,Nanosystems Engineers,17-2199,"Engineers, All Other",1530
17-2199.10,Wind Energy Engineers,1,17-2199.10,Wind Energy Engineers,17-2199,"Engineers, All Other",1530
17-2199.11,Solar Energy Systems Engineers,1,17-2199.11,Solar Energy Systems Engineers,17-2199,"Engineers, All Other",1530
17-3011.01,Architectural Drafters,1,17-3011.00,Architectural and Civil Drafters,17-3011,Architectural and Civil Drafters,1540
17-3011.02,Civil Drafters,1,17-3011.00,Architectural and Civil Drafters,17-3011,Architectural and Civil Drafters,1540
17-3012.01,Electronic Drafters,1,17-3012.00,Electrical and Electronics Drafters,17-3012,Electrical and Electronics Drafters,1540
17-3012.02,Electrical Drafters,1,17-3012.00,Electrical and Electronics Drafters,17-3012,Electrical and Electronics Drafters,1540
17-3013.00,Mechanical Drafters,1,17-3013.00,Mechanical Drafters,17-3013,Mechanical Drafters,1540
17-3021.00,Aerospace Engineering and Operations Technicians,0,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,17-3021,Aerospace Engineering and Operations Technologists and Technicians,1550
17-3022.00,Civil Engineering Technicians,1,17-3022.00,Civil Engineering Technologists and Technicians,17-3022,Civil Engineering Technologists and Technicians,1550
17-3023.01,Electronics Engineering Technicians,0,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,17-3023,Electrical and Electronic Engineering Technologists and Technicians,1550
17-3023.03,Electrical Engineering Technicians,0,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,17-3023,Electrical and Electronic Engineering Technologists and Technicians,1550
17-3024.00,Electro-Mechanical Technicians,0,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,1550
17-3024.01,Robotics Technicians,0,17-3024.01,Robotics Technicians,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,1550
17-3025.00,Environmental Engineering Technicians,0,17-3025.00,Environmental Engineering Technologists and Technicians,17-3025,Environmental Engineering Technologists and Technicians,1550
17-3026.00,Industrial Engineering Technicians,0,17-3026.00,Industrial Engineering Technologists and Technicians,17-3026,Industrial Engineering Technologists and Technicians,1550
17-3027.00,Mechanical Engineering Technicians,0,17-3027.00,Mechanical Engineering Technologists and Technicians,17-3027,Mechanical Engineering Technologists and Technicians,1550
17-3027.01,Automotive Engineering Technicians,0,17-3027.01,Automotive Engineering Technicians,17-3027,Mechanical Engineering Technologists and Technicians,1550
17-3029.01,Non-Destructive Testing Specialists,0,17-3029.01,Non-Destructive Testing Specialists,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",1550
17-3029.02,Electrical Engineering Technologists,0,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,17-3023,Electrical and Electronic Engineering Technologists and Technicians,1550
17-3029.03,Electromechanical Engineering Technologists,0,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,1550
17-3029.04,Electronics Engineering Technologists,0,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,17-3023,Electrical and Electronic Engineering Technologists and Technicians,1550
17-3029.05,Industrial Engineering Technologists,0,17-3026.00,Industrial Engineering Technologists and Technicians,17-3026,Industrial Engineering Technologists and Technicians,1550
17-3029.06,Manufacturing Engineering Technologists,0,17-3026.00,Industrial Engineering Technologists and Technicians,17-3026,Industrial Engineering Technologists and Technicians,1550
17-3029.07,Mechanical Engineering Technologists,0,17-3027.00,Mechanical Engineering Technologists and Technicians,17-3027,Mechanical Engineering Technologists and Technicians,1550
17-3029.08,Photonics Technicians,0,17-3029.08,Photonics Technicians,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",1550
17-3029.09,Manufacturing Production Technicians,0,17-3026.00,Industrial Engineering Technologists and Technicians,17-3026,Industrial Engineering Technologists and Technicians,1550
17-3029.11,Nanotechnology Engineering Technologists,0,17-3026.01,Nanotechnology Engineering Technologists and Technicians,17-3026,Industrial Engineering Technologists and Technicians,1550
17-3029.12,Nanotechnology Engineering Technicians,0,17-3026.01,Nanotechnology Engineering Technologists and Technicians,17-3026,Industrial Engineering Technologists and Technicians,1550
17-3031.01,Surveying Technicians,0,17-3031.00,Surveying and Mapping Technicians,17-3031,Surveying and Mapping Technicians,1560
17-3031.02,Mapping Technicians,1,17-3031.00,Surveying and Mapping Technicians,17-3031,Surveying and Mapping Technicians,1560
19-1011.00,Animal Scientists,1,19-1011.00,Animal Scientists,19-1011,Animal Scientists,1600
19-1012.00,Food Scientists and Technologists,0,19-1012.00,Food Scientists and Technologists,19-1012,Food Scientists and Technologists,1600
19-1013.00,Soil and Plant Scientists,1,19-1013.00,Soil and Plant Scientists,19-1013,Soil and Plant Scientists,1600
19-1020.01,Biologists,1,19-1029.04,Biologists,19-1029,"Biological Scientists, All Other",1610
19-1021.00,Biochemists and Biophysicists,0,19-1021.00,Biochemists and Biophysicists,19-1021,Biochemists and Biophysicists,1610
19-1022.00,Microbiologists,0,19-1022.00,Microbiologists,19-1022,Microbiologists,1610
19-1023.00,Zoologists and Wildlife Biologists,1,19-1023.00,Zoologists and Wildlife Biologists,19-1023,Zoologists and Wildlife Biologists,1610
